"age","educ","gender","hrswork","insure","metro","nchild","union","wage","race","marital","region"
47,3,0,40,1,1,3,0,56.25,"White",1,"northeast"
30,5,1,40,0,1,0,0,24.02,"White",0,"northeast"
36,1,0,0,1,1,4,1,20,"White",1,"west"
62,4,0,40,1,1,4,0,72.13,"White",1,"west"
47,3,1,40,1,1,5,0,52.88,"White",1,"midwest"
55,0,0,40,1,0,0,0,25,"White",2,"midwest"
32,2,0,60,1,1,2,0,20.83,"White",1,"south"
41,0,0,60,1,1,1,0,16.67,"White",1,"west"
62,2,0,40,1,1,1,0,48.08,"White",1,"midwest"
46,0,0,36,0,0,0,0,8,"White",0,"south"
46,0,1,40,1,1,2,1,19,"White",1,"midwest"
57,0,1,0,1,1,0,0,25,"Black",2,"west"
24,0,0,0,1,1,0,1,18,"White",0,"west"
56,2,0,60,1,1,2,0,24.03,"White",1,"south"
22,0,0,40,1,1,0,0,14,"White",0,"south"
30,2,0,50,1,1,0,0,25,"White",1,"midwest"
30,3,0,40,1,1,3,0,22.6,"White",1,"midwest"
46,3,1,40,1,1,2,1,20,"White",1,"west"
63,0,1,70,1,1,1,0,11,"White",2,"midwest"
47,2,0,39,0,1,1,0,11,"White",1,"west"
64,5,0,45,1,1,0,0,21.16,"White",1,"midwest"
48,3,0,50,1,1,3,0,18.42,"White",1,"midwest"
60,0,1,38,1,0,0,0,11,"White",1,"northeast"
34,3,1,40,1,0,0,0,30.75,"White",1,"midwest"
37,0,0,40,0,0,0,0,11.4,"White",1,"west"
45,0,1,40,1,1,2,0,15,"Asian",2,"west"
33,0,1,40,1,0,1,0,10,"White",2,"south"
37,0,1,36,1,1,0,0,14,"White",1,"midwest"
49,0,0,40,1,1,1,0,18,"White",1,"midwest"
61,3,0,45,1,1,0,0,25.64,"White",1,"west"
34,0,1,40,0,1,2,0,12.02,"White",1,"south"
32,0,0,54,0,1,2,0,3.76,"White",1,"northeast"
34,4,1,52,1,1,0,0,16,"White",0,"midwest"
50,0,1,40,1,1,0,0,9.75,"White",1,"south"
42,0,0,40,0,1,2,0,25,"White",2,"midwest"
61,0,1,35,1,0,0,0,13,"White",1,"midwest"
41,2,1,52,1,0,2,1,9.25,"White",1,"south"
63,3,1,35,1,1,0,0,41.77,"White",0,"south"
44,2,1,35,1,1,2,0,10.15,"White",1,"midwest"
53,0,1,40,1,1,0,0,12,"White",1,"west"
23,0,0,40,0,1,0,0,10,"Asian",0,"west"
36,1,0,40,1,1,0,0,22,"White",0,"west"
37,2,1,40,1,1,0,0,18,"White",1,"west"
33,3,0,50,1,0,2,0,19.22,"White",1,"midwest"
46,5,0,40,1,1,0,0,37.5,"Black",1,"south"
31,0,0,70,1,1,2,0,12.09,"White",1,"northeast"
57,0,1,50,1,1,0,0,7.94,"White",1,"northeast"
43,3,1,40,1,1,2,0,55.28,"White",1,"south"
44,4,0,40,1,1,2,1,41.25,"White",1,"northeast"
64,4,1,45,1,0,0,1,29.5,"White",1,"northeast"
52,0,0,40,1,1,0,0,8.5,"White",1,"south"
28,3,1,40,1,1,1,0,18.75,"White",1,"midwest"
27,0,1,43,1,0,1,0,17.88,"White",2,"midwest"
47,1,0,40,1,0,1,0,10.38,"Black",0,"south"
42,0,0,35,0,1,0,0,17,"White",0,"south"
60,2,0,45,1,1,0,0,16.69,"White",1,"south"
24,1,0,40,0,1,0,0,16,"White",0,"west"
35,3,0,40,1,1,2,1,9.6,"White",1,"midwest"
54,3,0,40,1,1,0,1,33.65,"White",1,"northeast"
